prompt,prompt_id,messages
"What's difference between the general purpose, business critical, and Hyperscale service tiers?",6db663a4d2671b41e0038c43c39f79cf909b10987dc5954286228079c2c78207,"[{'content': 'The vCore-based service tiers are primarily differentiated by availability, storage type, and input/output (I/O) per second. General purpose is a budget-oriented option that\'s best when input/output performance or failover time is not the priority. Hyperscale is optimized for online transaction processing (OLTP) and hybrid transactional analytical workloads. The business critical tier is best for OLTP applications with high transaction rates and low I/O latency requirements.', 'role': 'assistant'}]"
What is SLA for SQL Database,dd1afba7d2151b0695edea838378c8fd086d538e62a6643f67b24b7afeaf7f19,"[{'content': 'Connectivity between Azure SQL Database and the Azure internet gateway is guaranteed at least 99.99 percent of the time, regardless of your service tier. The remaining 0.01 percent is reserved for patches, upgrades, and failovers. For more information, read the SLA and learn about the high-availability architecture.', 'role': 'assistant'}]"
What is a SQL database?,e4fefd659416848d028ccfa3a87a7f530887c588feface5c4282e30b65fd7054,"[{'content': 'SQL databases, also known as relational databases, are systems that store collections of tables and organize structured sets of data in a tabular columns-and-rows format, similar to that of a spreadsheet.', 'role': 'assistant'}]"
What does Udaan think about Azure SQL Database?,179cd0182613b3f69c34573cd69e3ac6985de6bc2b4cd9e72894252ad9de8bbe,"[{'content': 'Azure SQL Database is always up to date. After five years, it’s still our choice for udaan. Azure SQL managed services have been a major factor in our success, said Kaushik Mukherjee, Head of Software Engineering, udaan.', 'role': 'assistant'}]"
"Do I need to manage my database, apply changes, and perform backups?",bb7ef3d3c15f467429ce09e2c44573c35a9ea55c4f28361755afeac2d90301c9,"[{'content': 'No. Azure SQL Database is a fully managed database service—Microsoft operates SQL Server for you and ensures its availability and performance. SQL Database also includes features to enhance your business continuity and security, such as built-in high availability and threat detection, so that you don\'t have to worry about administering or maintaining your SQL Server databases.', 'role': 'assistant'}]"
What is Azure SQL Hyperscale?,581eec4ea93d8611cc0f493009820de85eb5847a0e83ea48ba9ac0bc5d8ed57a,"[{'content': 'Azure SQL Hyperscale is a service tier in Azure SQL Database that offers high-performance, scalable storage and compute resources, enabling rapid scaling and supporting up to 100 TB of data for the most demanding workloads', 'role': 'assistant'}]"
What is a Hyperscale Azure SQL database?,fbda7249070afbb9a58f8bb44aa7b4b9a442cf385353ae62a957f003dfba0843,"[{'content': 'A Hyperscale database is a database in SQL Database that is backed by the Hyperscale scale-out storage technology. A Hyperscale database supports up to 100 TB of data and provides high throughput and performance, as well as rapid scaling to adapt to the workload requirements. Connectivity, query processing, database engine features, and so on, work like any other database in Azure SQL Database.', 'role': 'assistant'}]"
Can I mix Azure SQL Hyperscale and single databases in a single server?,b2803752c55f9982aa6579ef8aaf20f26e19871925af38a48aaa4e88fdb7b342,"[{'content': 'Yes, you can.', 'role': 'assistant'}]"
Can I bring my on-premises or IaaS SQL Server license to Hyperscale?,924c460370a90f4671409760d3a3e13b5d892206814856b77ce17e521bdd3bc2,"[{'content': 'With the new, simplified pricing in effect since December 15, 2023, the price of compute has been reduced for newly created Hyperscale databases, all serverless Hyperscale databases, and all Hyperscale elastic pools. With the new, simplified pricing, there is no need to apply Azure Hybrid Benefit (AHB) to obtain equivalent savings. Azure Hybrid Benefit (AHB) can only be applied to older (created before December 15, 2023) Hyperscale single databases with provisioned compute. For those older databases, AHB is only applicable until December 2026, after which those databases will also be billed as per the new, simplified pricing.', 'role': 'assistant'}]"
What is Azure Active Directory?,6db663a4d2671b41e0038c43c39f79cf909b10987dc5954286228079c2c78241,"[{'content': 'Azure Active Directory (Azure AD) is Microsoft's cloud-based identity and access management service, which helps your employees sign in and access resources.','role': 'assistant'}]"
Can I use Azure SQL Database for my data warehousing needs?,6db663a4d2671b41e0038c43c39f79cf909b10987dc5954286228079c2c78242,"[{'content': 'While Azure SQL Database can be used for data warehousing, Azure Synapse Analytics is the preferred service designed specifically for enterprise data warehousing.','role': 'assistant'}]"
What is Azure Blob Storage?,6db663a4d2671b41e0038c43c39f79cf909b10987dc5954286228079c2c78243,"[{'content': 'Azure Blob Storage is Microsoft's object storage solution for the cloud, designed to store large amounts of unstructured data.','role': 'assistant'}]"
